Employee_ID,Age,Gender,Education_Level,Marital_Status,Department,Location,Years_at_Company,Years_in_Current_Role,Promotion_Last_3Yrs,Employment_Type,Training_Hours,Monthly_Salary,Salary_Hike_Percent,Bonus,Stock_Options,Benefits_Score,Performance_Rating,Manager_Rating,Projects_Assigned,Certification_Count,Overtime_Hours,Work_Life_Balance,Commute_Distance_KM,Remote_Work_Days,Team_Size,Job_Satisfaction,Engagement_Score,Absenteeism_Days,Attrition,High_Risk_Employee
EMP00046,56,Female,Master,Married,Retail Banking,Mumbai,16,0,0,Full-Time,24.06380477,86785.62605,7.706300122,8020.373118,456,9,2,3,6,2,19.05358844,4,33,1,4,4,38,14,0,0
EMP00047,36,Male,Bachelor,Single,Cyber Security,Lucknow,19,12,1,Full-Time,31.56639609,151713.1865,13.67205842,29809.31666,456,6,4,5,2,1,24.75229398,2,9,2,14,6,50,10,0,0
EMP00048,43,Female,Bachelor,Married,Investment Banking,Pune,10,4,0,Full-Time,35.76247339,188947.1435,17.08634422,31692.1742,48,5,4,2,6,0,25.67184753,3,11,0,5,3,22,21,1,1
EMP00049,30,Female,Bachelor,Married,Customer Support,Hyderabad,17,9,0,Full-Time,41.3887253,51528.26281,13.17751012,6696.739789,446,9,4,2,5,3,24.92592791,2,14,0,4,1,1,16,1,1
EMP00050,49,Male,Master,Married,Finance,Pune,5,0,1,Full-Time,36.31836658,129921.8564,17.63991597,16581.55094,14,7,4,5,5,2,8.883618186,4,48,1,5,7,66,2,0,0
EMP00051,50,Other,MBA,Single,Investment Banking,Bangalore,13,10,0,Full-Time,44.254147,192258.6636,7.324624272,24501.67233,437,6,2,5,3,2,30.76125098,2,16,0,7,4,46,10,0,1
EMP00052,38,Female,MBA,Married,Operations,Jaipur,4,2,0,Full-Time,36.2970645,90869.04046,6.056175912,14521.62792,10,7,2,3,6,2,23.65185346,3,9,1,4,4,44,10,0,1
EMP00053,25,Female,Bachelor,Married,Risk Management,Kolkata,14,1,0,Full-Time,42.62198526,123580.2727,15.63539732,18076.07934,489,5,4,3,5,1,13.2364684,4,8,2,6,5,44,13,0,0
EMP00054,25,Female,MBA,Married,Human Resources,Ahmedabad,1,1,0,Full-Time,48.54290572,65894.42384,15.28494731,10319.31146,24,9,4,2,4,2,6.680252027,4,25,2,4,5,49,12,0,1
EMP00055,28,Female,Master,Single,Operations,Hyderabad,18,11,1,Contract,33.21651864,85763.36395,16.43069387,9210.981102,437,9,4,1,2,1,23.24757494,3,31,1,10,5,54,8,0,0
EMP00056,23,Female,Master,Married,Customer Support,Mumbai,14,3,1,Contract,39.07890066,62045.83425,12.65925683,11692.5664,106,9,4,3,6,2,27.72757096,2,14,0,9,3,28,21,1,1
EMP00057,58,Male,Bachelor,Married,Risk Management,Kolkata,8,8,1,Full-Time,53.2459011,129417.7466,19.79478409,13444.1575,56,5,5,5,6,5,15.69176533,3,4,2,9,4,44,11,0,0
EMP00058,31,Male,Master,Single,Compliance,Mumbai,4,0,0,Full-Time,35.88226924,109334.9958,19.69814213,18221.58107,22,7,5,3,6,2,12.94326923,4,47,1,9,4,42,12,0,0
EMP00059,39,Male,Bachelor,Married,Finance,Jaipur,1,0,0,Full-Time,50.3190764,93237.37069,14.45609335,14438.17576,1,9,4,5,7,3,15.90081937,3,8,1,8,4,39,14,0,0
EMP00060,49,Male,Bachelor,Married,Customer Support,Bangalore,0,0,1,Full-Time,55.97436841,72701.29903,16.89323237,6222.874173,12,7,4,1,2,5,22.07357937,3,41,0,11,4,45,9,1,1
EMP00061,56,Male,Bachelor,Married,Finance,Chennai,2,1,0,Full-Time,27.54394905,101458.0979,14.5182477,14129.55007,16,6,4,1,4,2,11.33973951,4,8,1,10,3,49,14,0,1
EMP00062,56,Male,Bachelor,Single,Investment Banking,Hyderabad,4,4,0,Full-Time,43.52270817,201932.7033,14.91036107,25234.85325,14,5,4,3,4,2,24.5091386,3,6,0,7,5,58,14,0,0
EMP00063,51,Female,Bachelor,Married,Risk Management,Lucknow,19,9,0,Contract,39.21225405,149331.6578,17.58555051,25563.79453,355,8,4,3,3,2,2.72344475,5,32,2,10,4,36,7,0,0
EMP00064,42,Male,Bachelor,Single,Retail Banking,Delhi,15,1,0,Full-Time,32.36918817,102652.391,11.74796063,10599.0988,272,5,3,4,6,2,13.61623179,4,41,1,4,4,47,12,0,0
EMP00065,46,Male,Bachelor,Married,Technology,Pune,5,4,1,Full-Time,50.90801033,127178.8273,14.22955948,14918.65786,0,5,4,4,2,2,20.08189058,2,21,3,4,3,35,17,0,0
EMP00066,34,Female,Master,Single,Retail Banking,Lucknow,7,4,1,Full-Time,44.25878326,73927.56757,13.77468284,12733.34687,40,8,4,5,7,1,13.41074706,5,19,1,8,6,68,7,0,0
EMP00067,28,Male,Bachelor,Single,Technology,Ahmedabad,2,0,0,Full-Time,48.04046972,119324.4002,20.26400079,22287.16824,25,6,5,1,6,3,15.36014391,2,48,3,11,2,13,24,0,1
EMP00068,27,Female,Master,Single,Risk Management,Kolkata,11,8,0,Full-Time,39.62508269,143953.6712,9.949738508,20466.93984,417,8,3,5,2,2,10.64533788,3,42,2,4,3,32,10,0,0
EMP00069,41,Male,Bachelor,Married,Finance,Pune,0,0,0,Full-Time,48.28386958,127734.2784,8.247327454,24162.24794,12,8,3,5,5,3,13.17176607,3,26,1,13,4,46,11,0,0
EMP00070,26,Other,MBA,Married,Technology,Hyderabad,19,5,1,Full-Time,43.04093273,79776.61976,19.3605385,13963.76264,159,8,5,4,6,3,26.34935242,2,42,0,9,5,36,8,0,0
EMP00071,59,Female,MBA,Single,Investment Banking,Delhi,13,7,1,Contract,41.06190651,196550.7504,11.43634499,16814.67419,348,6,3,5,4,3,22.05980078,3,44,0,13,7,73,3,0,0
EMP00072,46,Male,Bachelor,Single,Cyber Security,Lucknow,10,8,0,Full-Time,26.03926215,144057.9447,12.1958805,20223.51014,47,8,4,5,6,1,19.77377705,3,10,2,13,4,34,7,0,0
EMP00073,39,Male,Master,Single,Cyber Security,Hyderabad,19,0,0,Contract,32.14920307,154839.0421,18.80334964,28761.18128,149,7,5,4,7,1,25.18282023,2,30,2,9,3,26,22,0,1
EMP00074,45,Female,Bachelor,Married,Technology,Hyderabad,6,4,0,Full-Time,36.33862938,126141.8948,14.24224174,19047.84042,61,9,4,1,2,3,15.2249969,4,17,3,10,4,36,10,0,0
EMP00075,36,Female,MBA,Married,Finance,Jaipur,3,1,0,Full-Time,43.55319134,129395.2237,19.65403937,14885.42396,17,5,5,5,4,1,17.14563564,4,17,1,12,5,45,11,0,0
EMP00076,29,Female,Master,Single,Retail Banking,Hyderabad,5,5,1,Full-Time,33.38078794,93629.16722,17.77387901,16887.53499,25,7,4,3,6,1,12.2093606,3,43,1,4,3,23,22,0,0
EMP00077,34,Female,Bachelor,Married,Technology,Pune,13,4,0,Full-Time,47.84719855,138625.7333,15.28219397,20314.19643,395,9,4,3,5,2,17.75980358,3,40,3,5,3,23,12,0,0
EMP00078,46,Male,Bachelor,Single,Investment Banking,Bangalore,9,9,1,Full-Time,48.83032497,208344.8555,13.03576521,30220.56182,79,6,4,3,4,3,28.05972179,2,5,0,5,5,51,7,0,0
EMP00079,44,Male,Bachelor,Married,Customer Support,Hyderabad,3,3,0,Full-Time,48.00718805,64005.97361,17.41144181,11377.22366,15,7,4,1,3,3,29.3181272,2,27,0,5,2,3,13,1,1
EMP00080,26,Male,Bachelor,Single,Compliance,Delhi,12,8,0,Full-Time,71.40187512,140332.2924,17.35777407,15274.90924,198,7,4,5,5,3,9.881159291,4,43,1,12,5,53,14,0,0
EMP00081,43,Female,Master,Married,Compliance,Lucknow,7,4,0,Full-Time,27.11037399,132661.6146,12.27802965,14822.97633,54,9,4,2,6,1,1.515349786,5,48,1,6,5,62,7,0,0
EMP00082,43,Female,Master,Married,Finance,Ahmedabad,17,10,0,Full-Time,30.99034438,118906.8764,12.08880719,21741.20227,171,5,4,1,3,3,15.58389227,4,34,1,5,4,51,5,0,1
EMP00083,46,Male,Bachelor,Married,Technology,Mumbai,4,4,0,Full-Time,41.05566473,120846.5156,10.53234593,14256.40687,7,5,3,1,3,0,11.97095466,4,44,3,13,4,36,10,0,1
EMP00084,22,Male,Bachelor,Married,Risk Management,Mumbai,11,9,0,Full-Time,12.35579723,152751.6946,11.06242525,13036.90951,283,9,3,2,7,1,8.854363805,4,19,2,13,4,32,6,0,1
EMP00085,25,Male,Bachelor,Married,Investment Banking,Bangalore,4,2,1,Contract,43.47119285,204854.7408,20.18360882,33645.39648,22,8,5,5,7,1,30.91867679,1,22,0,6,5,49,6,0,0
EMP00086,53,Male,Bachelor,Single,Investment Banking,Chennai,6,5,0,Full-Time,18.69792405,197650.938,13.49219683,17453.13256,49,6,4,2,6,1,38.30311605,1,13,0,10,3,25,13,1,1
EMP00087,47,Female,MBA,Married,Finance,Lucknow,18,10,0,Full-Time,19.78971625,138283.8069,10.12037027,27465.37001,451,8,3,2,5,3,14.2636171,3,13,1,7,4,45,14,0,1
EMP00088,57,Female,Bachelor,Married,Operations,Ahmedabad,13,11,1,Full-Time,42.71678856,75082.84179,16.43300398,12438.80506,414,6,4,2,3,3,13.20057885,3,3,1,13,3,34,11,0,0
EMP00089,36,Female,Master,Married,Risk Management,Bangalore,10,1,0,Full-Time,39.08112292,118202.2444,20.87423857,10270.05247,54,5,5,3,3,1,12.8818755,4,14,2,7,4,52,11,0,0
EMP00090,56,Male,Bachelor,Single,Finance,Ahmedabad,19,12,0,Full-Time,30.41805275,123608.9351,6.801102004,22155.3091,435,5,2,3,4,2,5.809469803,4,13,1,8,4,41,8,0,0
EMP00091,59,Male,Bachelor,Married,Retail Banking,Lucknow,10,0,0,Full-Time,35.73483595,83337.76924,9.796092883,10203.2534,61,9,3,5,6,2,20.00669022,3,31,1,14,3,27,23,0,0
EMP00092,48,Female,Master,Married,Operations,Delhi,2,1,1,Full-Time,39.65682258,76934.50177,13.2174154,10525.76342,14,8,4,1,6,2,17.99283172,3,23,1,5,4,46,8,0,0
EMP00093,35,Female,Master,Single,Technology,Ahmedabad,12,1,0,Full-Time,30.39062384,119492.0241,16.88194294,13776.73299,351,8,4,5,2,3,12.77466407,4,20,3,8,5,63,11,0,0
EMP00094,55,Female,Bachelor,Married,Risk Management,Hyderabad,5,1,0,Full-Time,56.31785918,140614.5332,12.04847794,19040.84632,7,7,4,3,3,3,9.988654979,4,21,2,13,4,40,13,0,0
EMP00095,46,Female,Master,Married,Risk Management,Mumbai,15,8,1,Full-Time,36.80913185,140663.1213,21.84888219,22225.42344,165,9,5,5,2,1,8.008815264,5,36,2,9,7,77,3,0,0
EMP00096,48,Female,Master,Married,Investment Banking,Pune,5,5,0,Full-Time,40.44732739,208346.1031,10.47521173,19195.01212,13,9,3,5,5,2,23.46164261,2,37,0,14,5,45,13,0,0
EMP00097,42,Female,Bachelor,Married,Human Resources,Kolkata,5,5,0,Full-Time,36.53066924,75641.0974,13.4826548,13301.72203,11,6,4,1,2,3,9.774592181,4,8,2,11,3,26,13,0,1
EMP00098,56,Male,Master,Single,Operations,Chennai,5,4,0,Full-Time,32.17136947,77631.65032,13.06598853,11636.22544,13,5,4,4,7,3,18.31393853,4,5,1,12,4,41,5,0,0
EMP00099,27,Male,Master,Married,Investment Banking,Lucknow,12,2,1,Full-Time,39.40295185,194568.0444,8.078769761,32562.89592,330,9,3,2,6,1,32.06037571,1,16,0,13,4,39,9,1,1
EMP00100,56,Male,Bachelor,Married,Risk Management,Pune,7,3,1,Full-Time,44.64140304,136386.0814,12.04748876,21524.10787,45,9,4,1,2,4,13.97445783,4,26,2,5,4,39,12,0,0
EMP00101,47,Male,Master,Single,Technology,Jaipur,16,6,0,Full-Time,39.33015267,64890.59502,17.13307161,8053.977149,164,5,4,2,7,3,19.74687697,3,48,0,7,3,21,18,1,1
EMP00102,36,Female,Bachelor,Single,Retail Banking,Mumbai,1,0,0,Full-Time,35.41779293,95526.31706,20.26444993,10286.11757,18,6,5,3,3,1,18.60399293,3,7,1,11,4,41,10,0,0
EMP00103,26,Male,Bachelor,Single,Technology,Pune,5,5,0,Full-Time,44.48369786,123952.9589,11.69346375,13001.5911,29,7,3,1,3,3,15.03973913,4,36,3,9,4,40,11,0,1
EMP00104,47,Female,Master,Single,Investment Banking,Delhi,5,3,0,Full-Time,39.36574226,194292.8046,15.50045283,15755.8497,7,5,4,3,5,1,29.69246636,3,45,0,10,5,35,9,0,0
EMP00105,54,Female,MBA,Married,Cyber Security,Pune,6,6,0,Full-Time,61.02644257,140337.4304,14.11658164,13570.14846,49,5,4,5,7,3,25.07198482,2,14,2,6,4,28,12,0,1
EMP00106,46,Male,MBA,Single,Compliance,Ahmedabad,0,0,0,Full-Time,28.86201312,124464.2921,11.7003353,22398.14351,17,5,3,5,5,2,12.68915929,3,31,1,8,6,64,12,0,0
EMP00107,38,Male,Bachelor,Single,Customer Support,Hyderabad,7,7,0,Contract,45.95376307,132099.4498,13.83016287,24782.34167,54,7,4,5,3,2,14.6793304,4,20,1,5,4,46,5,0,0
EMP00108,41,Female,Bachelor,Single,Investment Banking,Pune,2,0,0,Full-Time,53.03546032,186348.4083,19.8780296,18732.35473,10,9,5,1,2,2,34.15458147,1,41,0,5,3,24,23,1,1
EMP00109,23,Male,Master,Married,Investment Banking,Pune,3,0,1,Full-Time,36.74788727,199021.3122,18.17667881,35200.35121,22,6,5,1,7,2,30.12320146,3,26,0,4,4,42,10,1,1
EMP00110,29,Male,Bachelor,Single,Compliance,Chennai,16,3,1,Full-Time,48.884868,142425.3048,8.985656917,15537.46258,142,5,3,5,4,4,0.850017609,5,28,1,6,6,49,7,0,0
EMP00111,40,Male,MBA,Single,Technology,Pune,2,1,0,Full-Time,43.04318167,122676.6742,17.37634749,21814.65124,2,8,4,1,3,2,13.80356929,4,36,3,7,3,34,20,0,1
EMP00112,50,Male,Master,Single,Risk Management,Hyderabad,1,0,0,Contract,64.24840354,138201.968,16.75482954,27622.11561,2,5,4,2,2,2,12.69569729,4,27,2,13,4,42,12,0,1
EMP00113,40,Female,MBA,Married,Retail Banking,Lucknow,13,5,0,Full-Time,46.88730531,88484.54557,8.807345496,9363.436102,496,7,3,4,2,3,13.0088147,4,5,1,11,3,37,23,0,0
EMP00114,30,Female,Bachelor,Single,Human Resources,Hyderabad,5,5,0,Full-Time,22.12583827,90082.21606,6.712488042,13380.0315,4,8,2,2,4,1,6.52313,5,43,2,9,5,50,14,0,0
EMP00115,29,Female,Bachelor,Married,Risk Management,Ahmedabad,17,1,0,Full-Time,47.14408405,132014.6201,19.37649938,14987.29916,183,5,5,3,4,3,15.22784378,4,20,2,13,4,50,5,0,0
EMP00116,36,Female,MBA,Single,Finance,Bangalore,1,0,1,Full-Time,44.25873522,117897.4361,16.68065626,13958.11678,26,8,4,1,3,1,10.86871053,4,21,1,12,5,49,7,0,0
EMP00117,55,Female,Master,Single,Human Resources,Bangalore,11,3,0,Full-Time,53.69992328,89898.64578,8.065541916,14265.52272,443,6,3,1,3,3,6.373818785,5,40,2,10,4,33,7,0,1
EMP00118,25,Male,MBA,Single,Human Resources,Bangalore,4,0,1,Full-Time,53.4208881,75520.33009,16.32993169,15088.7908,10,6,4,1,2,3,7.434259009,4,6,2,11,3,34,23,0,0
EMP00119,48,Female,Bachelor,Single,Operations,Bangalore,9,3,1,Full-Time,37.34670227,78265.44743,18.79005192,9126.244315,57,6,5,2,7,2,17.10039966,4,38,1,11,5,43,6,0,0
EMP00120,59,Female,Master,Single,Operations,Mumbai,14,3,0,Full-Time,32.1171568,90309.45248,21.45011941,12716.92196,151,6,5,1,3,1,16.31147644,3,15,1,4,2,22,16,0,1
EMP00121,34,Female,Master,Single,Cyber Security,Lucknow,12,8,0,Full-Time,67.78841102,160439.1234,19.83456583,25117.33733,246,9,5,4,3,4,25.91148343,3,15,2,10,4,35,8,0,1
EMP00122,53,Female,Bachelor,Single,Risk Management,Pune,9,3,0,Full-Time,46.36242745,161094.2982,20.84681037,13102.20292,77,8,5,1,6,4,9.4551945,4,16,2,8,4,26,9,0,1
EMP00123,56,Male,Master,Married,Retail Banking,Mumbai,16,3,1,Full-Time,49.95841196,87369.35075,21.73961938,14810.20787,282,6,5,3,6,1,17.4387133,3,22,1,12,5,54,11,0,0
EMP00124,57,Male,Master,Single,Cyber Security,Mumbai,12,6,0,Full-Time,38.03380087,150965.9345,13.18048135,28596.64561,442,5,4,4,6,3,24.54849667,3,36,2,4,5,33,12,0,0
EMP00125,31,Male,Bachelor,Married,Technology,Delhi,6,6,0,Full-Time,44.55250991,123294.6299,16.16548228,16281.30132,32,7,4,4,7,1,11.2685153,4,16,3,7,4,41,5,0,0
EMP00126,44,Male,Bachelor,Married,Human Resources,Mumbai,3,2,0,Full-Time,33.77891985,99044.53507,12.78358592,10362.30618,18,9,4,2,3,2,4.082499107,4,40,2,5,2,18,13,0,1
EMP00127,44,Female,Master,Married,Compliance,Hyderabad,1,1,0,Full-Time,31.51900027,115403.501,9.839652386,21504.6327,8,8,3,5,4,2,11.25309029,4,2,1,7,6,68,6,0,0
EMP00128,25,Female,Master,Single,Retail Banking,Mumbai,4,2,1,Full-Time,39.80251045,97683.96633,13.03978746,11898.05701,13,5,4,4,7,1,18.26795666,4,25,1,12,5,44,8,0,0
EMP00129,26,Male,MBA,Married,Human Resources,Hyderabad,9,9,0,Full-Time,31.90037148,83802.65214,17.27823195,9083.024714,44,5,4,5,3,2,16.03768041,3,26,2,7,3,27,16,0,0
EMP00130,25,Female,Bachelor,Single,Technology,Bangalore,18,16,0,Full-Time,33.79990699,128787.972,13.79638362,21088.26528,262,7,4,4,5,3,16.69756392,4,32,3,10,4,42,5,0,0
EMP00131,51,Male,Bachelor,Single,Retail Banking,Bangalore,8,6,0,Full-Time,41.3936097,95726.21699,9.834190003,18505.20122,30,8,3,2,5,3,19.59018482,3,28,1,4,4,41,13,0,1
EMP00132,54,Male,PhD,Single,Customer Support,Delhi,1,0,1,Full-Time,34.82948873,60209.6317,16.43782552,11856.05984,12,7,4,4,4,2,25.93555913,3,14,0,5,6,81,5,0,0
